MFL codes,Name,Province,COUNTY,District,Division,KP TYPE,Implementing Partner Name,Clinician Present Yes/No
19882,Chuka DICE,,Tharaka Nithi,,,FSW/MSM,HWWK,Yes
19879,Meru DICE,,Meru,,,FSW/MSM/PWID,HWWK,Yes
20448,Kitui DICE,,Kitui,,,FSW/MSM,HWWK,Yes
20203,Mwingi DICE,,Kitui,,,FSW/MSM,HWWK,Yes
12004,Embu,,Embu,,,FSW/MSM,HWWK,Yes
21144,Machakos,,Machakos,,,FSW/MSM/PWID,HWWK,Yes
19890,Makindu,,Makueni,,,FSW/MSM,HWWK,Yes
23833,Tala,,Machakos,,,FSW/MSM,NOPE,
18607,Kyumbi sasa center,,Machakos,,,FSW/MSM,NOPE,Yes
17511,Emali,,Makueni,,,FSW/MSM,North Star Alliance,Yes
17844,Mlolongo,,Machakos,,,FSW/MSM,North Star Alliance,Yes
22479,Kilifi Drop in Service Centre,,Kilifi,,,FSW/MSM,ICRHK,Yes
22679,Mtwapa Drop in Service Centre,,Kilifi,,,FSW/MSM,ICRHK,Yes
17623,Kisauni Drop in Service Centre,,Mombasa,,,FSW/MSM,ICRHK,Yes
18454,Likoni Drop in Service Centre,,Mombasa,,,FSW/MSM,ICRHK,Yes
20059,Mvita Drop in service Centre,,Mombasa,,,FSW/MSM,ICRHK,Yes
20376,Ukunda Drop in Service Centre,,Kwale,,,FSW/MSM,ICRHK,Yes
23412,GSK,,Kilifi,,,FSW/MSM,Gold star Kenya,Yes
17966,TOP DIC,,Kilifi,,,PWID,The Omari Project,Yes
22024,Mariakani Wellness Centre,,Kilifi,,,FSW,KANCO,Yes
17620,Reachout Drop in centre-Mombasa,,Mombasa,,,PWID,Reachout Centre Trust,Yes
20375,Reachout Drop in centre-Ukunda,,Kwale,,,PWID,Reachout Centre Trust,Yes
18121,Kipevu,,Mombasa,,,FSW/Truckers,NORTHSTAR ALLIANCE,Yes
21076,JOMVU,,Mombasa,,,"FSW,Truckers",NORTHSTAR ALLIANCE,Yes
22782,Tamba Pwani,,Kilifi,,,MSM,Tamba Pwani,Yes
21404,Teens Watch Centre showground,,Kwale,,,PWID,Teens Watch ,Yes
,Teens Watch Centre Makuti,,Kwale,,,FSW,Teens Watch,Yes
22287,Reach Out ,,Taita Taveta,,,FSW,Reach Out Trust,Yes
13180,SWOP City,,Nairobi,,,"FSW, MSM",University of Manitoba,Yes
